OACI;CIAD;Nome;Município;UF;Tipo;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Rampa de Aproximação;Formato da Área de Pouso;Dimensões;Resistência do Pavimento;Superfície;Validade do Registro;Portaria de Registro;Link Portaria;Luzes de Aproximação;Luzes de Área de Toque e Elevação Inicial (TLOF);Indicador Visual de Rampa de Aproximação;Luzes Indicadoras de Área de Aproximação Final de Decolagem (FATO);Luzes de Obstáculo;Luzes de Ponto de Vizada de Heliponto
SSDB;BA0216;Fazenda Baviera;ITAGIBÁ;Bahia;No solo;-14,121111;-39,829167;14°07'16.3"S;039°49'45.6"W;164,0;VFR;VFR;9 24;Quadrado;20 m;3,00;Concreto;09/03/2026;PA2016-0510;https://pergamum.anac.gov.br/arquivos/PA2016-0510.pdf;;;;;;
SJYX;PR0127;Foz do Chopim;CRUZEIRO DO IGUAÇU;Paraná;No solo;-25,571944;-53,123056;25°34'19.0"S;053°07'23.0"W;378,0;VFR;;19;Quadrado;20 m;3,00;Grama;13/08/2030;PA2020-1830;https://pergamum.anac.gov.br/arquivos/PA2020-1830.pdf;;;;;;
SJBI;SP0595;Edra;IPEÚNA;São Paulo;No solo;-22,440278;-47,698333;22°26'25.0"S;047°41'54.0"W;610,0;VFR;VFR;22;Quadrado;21 m;4,50;Concreto;16/06/2024;PA2014-1401;https://pergamum.anac.gov.br/arquivos/PA2014-1401.pdf;;;;;;
SDJD;SP0360;Juquehy Baleia;SÃO SEBASTIÃO;São Paulo;No solo;-23,760833;-45,7125;23°45'39.0"S;045°42'45.0"W;10,0;VFR;VFR;7;Quadrado;21 m;5,00;Concreto;16/07/2025;PA2015-1855;https://pergamum.anac.gov.br/arquivos/PA2015-1855.pdf;;;;;;
SDGD;SP0333;Eucatex-Botucatú;BOTUCATU;São Paulo;No solo;-22,994167;-48,567778;22°59'39.0"S;048°34'04.0"W;810,0;VFR;VFR;31;Quadrado;24 m;6,00;Concreto;17/01/2023;PA2013-0136;https://pergamum.anac.gov.br/arquivos/PA2013-0136.pdf;;;;;;
SWGB;GO0175;Gabinete Militar;GOIÂNIA;Goiás;Elevado;-16,681667;-49,255556;16°40'54.0"S;049°15'20.0"W;769,0;VFR;VFR;6 24;Quadrado;19,5 m;3,00;Concreto;04/04/2023;PA2013-0876;https://pergamum.anac.gov.br/arquivos/PA2013-0876.pdf;;;;;;
SJWZ;SP0676;E-Tower;SÃO PAULO;São Paulo;Elevado;-23,593889;-46,690278;23°35'38.0"S;046°41'25.0"W;872,0;VFR;VFR;16;Quadrado;21 m;4,50;Concreto;21/03/2022;PA2013-1215;https://pergamum.anac.gov.br/arquivos/PA2013-1215.pdf;;;;;;
SIZE;SP0581;Coppersteel Bimetálicos;CAMPINAS;São Paulo;No solo;-22,996667;-47,123611;22°59'48.0"S;047°07'25.0"W;677,0;VFR;;23;Quadrado;20 m;3,00;Concreto;01/10/2030;PA2020-2279;https://pergamum.anac.gov.br/arquivos/PA2020-2279.pdf;;;;;;
SIOY;MG0230;Fazenda Santa Clara;SANTANA DO DESERTO;Minas Gerais;No solo;-21,880556;-43,175833;21°52'50.0"S;043°10'33.0"W;589,0;VFR;VFR;33;Quadrado;27,5 m;10,00;Concreto;21/10/2025;PA2015-2812;https://pergamum.anac.gov.br/arquivos/PA2015-2812.pdf;;;;;;
SDPM;SP0404;Palácio dos Bandeirantes;SÃO PAULO;São Paulo;No solo;-23,600556;-46,713056;23°36'02.0"S;046°42'47.0"W;792,0;VFR;VFR;6 27;Quadrado;30 m;10,00;Concreto;04/11/2023;PA2013-2823;https://pergamum.anac.gov.br/arquivos/PA2013-2823.pdf;;;;;;
SIDA;SP0478;Edifício Dakota;SÃO PAULO;São Paulo;Elevado;-23,594444;-46,683611;23°35'40.0"S;046°41'01.0"W;776,0;VFR;VFR;27;Quadrado;18 m;4,00;Concreto;13/06/2022;PA2015-1362;https://pergamum.anac.gov.br/arquivos/PA2015-1362.pdf;;;;;;
SNHA;MA0067;Comandante Endeel Gabriel;SÃO LUÍS;Maranhão;No solo;-2,4847222;-44,250833;02°29'05.9"S;044°15'03.9"W;38,0;VFR;VFR;20;Quadrado;18 m;3,00;Concreto;16/12/2030;PA2020-3517;https://pergamum.anac.gov.br/arquivos/PA2020-3517.pdf;;;;;;
SICG;SP0473;Rede TV;OSASCO;São Paulo;Elevado;-23,520833;-46,763056;23°31'15.0"S;046°45'47.0"W;725,0;VFR;VFR;15;Quadrado;25 m;11,00;Concreto;01/03/2022;PA2016-3461;https://pergamum.anac.gov.br/arquivos/PA2016-3461.pdf;;;;;;
SJTY;SP0664;Tivoli Mofarrej;SÃO PAULO;São Paulo;Elevado;-23,564167;-46,655833;23°33'51.0"S;046°39'21.0"W;905,0;VFR;VFR;4;Quadrado;19,5 m;3,00;Concreto;10/12/2022;PA2012-2683;https://pergamum.anac.gov.br/arquivos/PA2012-2683.pdf;;;;;;
SJAJ;PR0115;Estação Convention Center;CAMPO LARGO;Paraná;No solo;-25,438889;-49,434444;25°26'20.0"S;049°26'04.0"W;946,0;VFR;VFR;4 22;Quadrado;18 m;3,00;Concreto;24/09/2023;PA2017-1772;https://pergamum.anac.gov.br/arquivos/PA2017-1772.pdf;;;;;;
SNXD;MG0265;Gerdau;CONGONHAS;Minas Gerais;No solo;-20,538611;-43,756667;20°32'19.0"S;043°45'24.0"W;1020,0;VFR;;13;Quadrado;24 m;6,00;Concreto;21/09/2027;PA2017-3035;https://pergamum.anac.gov.br/arquivos/PA2017-3035.pdf;;;;;;
SJGP;SP0620;Guarapá;SANTOS;São Paulo;No solo;-23,898611;-46,303889;23°53'55.0"S;046°18'14.0"W;6,0;VFR;VFR;18;Quadrado;25 m;7,00;Concreto;17/01/2028;PA2018-0051;https://pergamum.anac.gov.br/arquivos/PA2018-0051.pdf;;;;;;
SJIG;SP0624;Edifício Times Square Business;RIBEIRÃO PRETO;São Paulo;Elevado;-21,206389;-47,810556;21°12'23.0"S;047°48'38.0"W;682,0;VFR;VFR;12;Quadrado;18 m;4,00;Concreto;07/05/2031;PA2021-4941;https://pergamum.anac.gov.br/arquivos/PA2021-4941.pdf;;;;;;
SJII;SP0626;Silva Jardim;SÃO BERNARDO DO CAMPO;São Paulo;Elevado;-23,713056;-46,546667;23°42'47.8"S;046°32'48.7"W;847,0;VFR;VFR;6;Quadrado;18 m;4,50;Concreto;15/10/2028;PA2018-3095;https://pergamum.anac.gov.br/arquivos/PA2018-3095.pdf;;;;;;
SIES;SP0486;Ciclade;SÃO SEBASTIÃO;São Paulo;No solo;-23,768889;-45,633889;23°46'08.0"S;045°38'02.0"W;6,0;VFR;VFR;11;Quadrado;24 m;6,00;Grama;01/06/2031;PA2021-5036;https://pergamum.anac.gov.br/arquivos/PA2021-5036.pdf;;;;;;
SSJN;SP0754;Fazenda Santa Helena;BRAGANÇA PAULISTA;São Paulo;No solo;-22,970556;-46,680278;22°58'14.0"S;046°40'49.0"W;800,0;VFR;VFR;13 31;Quadrado;19,6 m;6,00;Concreto;16/01/2022;PA2012-0100;https://pergamum.anac.gov.br/arquivos/PA2012-0100.pdf;;;;;;
SNTN;SP0732;Gama;BARUERI;São Paulo;Elevado;-23,484722;-46,855833;23°29'05.0"S;046°51'21.0"W;827,0;VFR;VFR;7 25;Quadrado;18 m;3,00;Concreto;28/04/2031;PA2021-4842;https://pergamum.anac.gov.br/arquivos/PA2021-4842.pdf;;;;;;
SDRN;SP0415;Zarzur;SÃO PAULO;São Paulo;Elevado;-23,57;-46,691944;23°34'12.0"S;046°41'31.0"W;808,0;VFR;VFR;20;Quadrado;23 m;4,50;Metálico;25/05/2030;PA2020-0996;https://pergamum.anac.gov.br/arquivos/PA2020-0996.pdf;;;;;;
SJCI;SP0604;Capitão PM Paulo José de Menezes Filho;SÃO JOSÉ DOS CAMPOS;São Paulo;No solo;-23,194444;-45,874167;23°11'40.0"S;045°52'27.0"W;598,0;VFR;VFR;4;Quadrado;19,5 m;6,00;Concreto;19/12/2022;PA2012-2772;https://pergamum.anac.gov.br/arquivos/PA2012-2772.pdf;;;;;;
SJDQ;SP0611;Trade Tower;CAMPINAS;São Paulo;Elevado;-22,8975;-47,046944;22°53'51.0"S;047°02'49.0"W;699,0;VFR;VFR;27;Quadrado;19,8 m;4,90;Concreto;23/03/2031;PA2021-4465;https://pergamum.anac.gov.br/arquivos/PA2021-4465.pdf;;;;;;
SITK;SP0553;Jomarca;GUARULHOS;São Paulo;Elevado;-23,467222;-46,485833;23°28'02.0"S;046°29'09.0"W;790,0;VFR;Sem Operação;2;Quadrado;24 m;6,00;Concreto;02/05/2023;PA2013-1101;https://pergamum.anac.gov.br/arquivos/PA2013-1101.pdf;;;;;;
SDSN;SP0417;São Luiz;SÃO PAULO;São Paulo;Elevado;-23,590556;-46,686667;23°35'26.0"S;046°41'12.0"W;790,0;VFR;VFR;19;Quadrado;21 m;4,00;Concreto;22/07/2030;PA2020-1681;https://pergamum.anac.gov.br/arquivos/PA2020-1681.pdf;;;;;;
SSRQ;SP0776;Reik;GUARUJÁ;São Paulo;No solo;-23,960556;-46,1825;23°57'38.0"S;046°10'57.0"W;3,0;VFR;;31;Quadrado;18 m;5,70;Grama;16/01/2023;PA2013-0110;https://pergamum.anac.gov.br/arquivos/PA2013-0110.pdf;;;;;;
SDYH;SP0450;José Roberto Magalhães Teixeira;CAMPINAS;São Paulo;No solo;-22,929167;-47,082778;22°55'45.0"S;047°04'58.0"W;700,0;VFR;VFR;5 14;Quadrado;20 m;6,00;Concreto;10/12/2022;PA2012-2685;https://pergamum.anac.gov.br/arquivos/PA2012-2685.pdf;;;;;;
SDJE;RJ0045;Estádio Olímpico João Havelange;RIO DE JANEIRO;Rio de Janeiro;No solo;-22,892778;-43,293889;22°53'34.0"S;043°17'38.0"W;26,0;VFR;VFR;32;Quadrado;18 m;4,00;Concreto;19/02/2025;PA2015-0412;https://pergamum.anac.gov.br/arquivos/PA2015-0412.pdf;;;;;;
SNYQ;SP0740;Parque Empresarial Campinas ;CAMPINAS;São Paulo;Elevado;-22,838611;-47,034167;22°50'19.0"S;047°02'03.0"W;656,0;VFR;VFR;12;Quadrado;19,5 m;4,00;Concreto;05/06/2024;PA2014-1292;https://pergamum.anac.gov.br/arquivos/PA2014-1292.pdf;;;;;;
SWCT;PR0146;Laguna Iguaçu;CURITIBA;Paraná;No solo;-25,449167;-49,288889;25°26'57.0"S;049°17'20.0"W;1010,0;VFR;VFR;15 33;Quadrado;21 m;4,00;Aço;05/06/2024;PA2014-1293;https://pergamum.anac.gov.br/arquivos/PA2014-1293.pdf;;;;;;
SIZB;RJ0096;Hospital São José;TERESÓPOLIS;Rio de Janeiro;Elevado;-22,425;-42,98;22°25'30.0"S;042°58'48.0"W;987,0;VFR;VFR;35;Quadrado;19,5 m;2,80;Concreto;26/01/2025;PA2015-1856;https://pergamum.anac.gov.br/arquivos/PA2015-1856.pdf;;;;;;
SSID;CE0059;Apodi;CAUCAIA;Ceará;No solo;-3,6683333;-38,853056;03°40'06.0"S;038°51'11.0"W;23,0;VFR;VFR;13;Quadrado;20 m;4,00;Concreto;23/04/2025;PA2015-0971;https://pergamum.anac.gov.br/arquivos/PA2015-0971.pdf;;;;;;
SJQE;CE0044;Sertão Central;QUIXERAMOBIM;Ceará;No solo;-5,1811111;-39,261389;05°10'52.0"S;039°15'41.0"W;234,0;VFR;VFR;27;Quadrado;21 m;4,00;Concreto;13/05/2025;PA2015-1114;https://pergamum.anac.gov.br/arquivos/PA2015-1114.pdf;;;;;;
SIZJ;SP0582;Fazenda Santa Zélia;BEBEDOURO;São Paulo;No solo;-20,979444;-48,447222;20°58'46.0"S;048°26'50.0"W;570,0;VFR;VFR;4;Quadrado;21 m;4,00;Concreto;31/07/2025;PA2015-2033;https://pergamum.anac.gov.br/arquivos/PA2015-2033.pdf;;;;;;
SIJT;RJ0086;Mima 3;CAMPOS DOS GOYTACAZES;Rio de Janeiro;No solo;-21,749722;-41,302778;21°44'59.0"S;041°18'10.0"W;20,0;VFR;;27;Quadrado;18 m;3,00;Asfalto;11/07/2022;PA2012-1384;https://pergamum.anac.gov.br/arquivos/PA2012-1384.pdf;;;;;;
SSBP;PR0131;Parque Barigui;CURITIBA;Paraná;No solo;-25,431111;-49,315278;25°25'52.0"S;049°18'55.0"W;895,0;VFR;VFR;30;Quadrado;18 m;4,00;Concreto;14/05/2022;PA2013-0581;https://pergamum.anac.gov.br/arquivos/PA2013-0581.pdf;;;;;;
SWKM;SP0815;Castelo Branco Office Park - Torre II;BARUERI;São Paulo;Elevado;-23,505278;-46,8375;23°30'19.0"S;046°50'15.0"W;825,0;VFR;VFR;24;Quadrado;21 m;4,50;Concreto;03/05/2022;PA2012-0825;https://pergamum.anac.gov.br/arquivos/PA2012-0825.pdf;;;;;;
SNCN;DF0016;Parque Cidade ;BRASÍLIA;Distrito Federal;Elevado;-15,795556;-47,893611;15°47'44.0"S;047°53'37.0"W;1175,0;VFR;VFR;3 12;Quadrado;24 m;6,00;Concreto;09/11/2021;PA2015-2425;https://pergamum.anac.gov.br/arquivos/PA2015-2425.pdf;;;;;;
SWTF;SP0832;Friboi;SÃO PAULO;São Paulo;Elevado;-23,513611;-46,731111;23°30'49.0"S;046°43'52.0"W;742,0;VFR;VFR;9;Quadrado;24 m;6,00;Metálico;23/02/2026;PA2016-0358;https://pergamum.anac.gov.br/arquivos/PA2016-0358.pdf;;;;;;
SILW;PE0031;Monte das Acácias;GRAVATÁ;Pernambuco;No solo;-8,2197222;-35,544722;08°13'11.0"S;035°32'41.0"W;465,0;VFR;VFR;12 30;Quadrado;24 m;5,00;Concreto;17/04/2023;PA2013-0985;https://pergamum.anac.gov.br/arquivos/PA2013-0985.pdf;;;;;;
SDFJ;SP0326;Fazenda Murungaba;TIETÊ;São Paulo;No solo;-22,951389;-47,76;22°57'05.0"S;047°45'36.0"W;494,0;VFR;VFR;36;Quadrado;21 m;5,00;Concreto;24/07/2030;PA2020-1730;https://pergamum.anac.gov.br/arquivos/PA2020-1730.pdf;;;;;;
SDEU;SP0320;Empresarial Anhanguera;CAJAMAR;São Paulo;No solo;-23,384722;-46,831667;23°23'05.0"S;046°49'54.0"W;810,0;VFR;;3;Quadrado;18 m;4,00;Concreto;20/08/2022;PA2012-1666;https://pergamum.anac.gov.br/arquivos/PA2012-1666.pdf;;;;;;
SWZB;SP0844;Fronteira;ILHABELA;São Paulo;No solo;-23,7675;-45,348056;23°46'03.5"S;045°20'53.5"W;82,0;VFR;VFR;7 17;Quadrado;20 m;4,50;Concreto;28/09/2022;PA2012-1966;https://pergamum.anac.gov.br/arquivos/PA2012-1966.pdf;;;;;;
SDAT;SP0291;Hospital e Maternidade Vitória;SÃO PAULO;São Paulo;Elevado;-23,563056;-46,561667;23°33'47.0"S;046°33'42.0"W;793,0;VFR;VFR;9;Quadrado;21 m;5,00;Concreto;14/04/2031;PA2021-4701;https://pergamum.anac.gov.br/arquivos/PA2021-4701.pdf;;;;;;
SNAZ;SP0690;Amazônia;BARUERI;São Paulo;Elevado;-23,492778;-46,849722;23°29'34.0"S;046°50'59.0"W;866,0;VFR;VFR;17;Quadrado;23 m;4,50;Concreto;15/03/2027;PA2017-0638;https://pergamum.anac.gov.br/arquivos/PA2017-0638.pdf;;;;;;
SNRR;PE0049;Hospital Miguel Arraes;PAULISTA;Pernambuco;No solo;-7,9202778;-34,891111;07°55'13.0"S;034°53'28.0"W;45,0;VFR;VFR;13;Quadrado;18 m;3,00;Concreto;09/10/2027;PA2017-3180;https://pergamum.anac.gov.br/arquivos/PA2017-3180.pdf;;;;;;
SWDJ;SP0872;Trend Tower;BARUERI;São Paulo;Elevado;-23,485556;-46,855278;23°29'08.4"S;046°51'19.0"W;945,0;VFR;VFR;5;Quadrado;21 m;4,50;Concreto;26/12/2028;PA2018-3877;https://pergamum.anac.gov.br/arquivos/PA2018-3877.pdf;;;;;;
SSCZ;SC0088;Hospital Santa Isabel;BLUMENAU;Santa Catarina;No solo;-26,923889;-49,066389;26°55'26.0"S;049°03'59.0"W;47,0;VFR;VFR;27;Quadrado;22 m;6,00;Concreto;02/01/2022;PA2017-3787;https://pergamum.anac.gov.br/arquivos/PA2017-3787.pdf;;;;;;
SWYI;SP0843;Iporanga;CAMPOS DO JORDÃO;São Paulo;No solo;-22,703333;-45,5125;22°42'12.0"S;045°30'45.0"W;1645,0;VFR;VFR;10;Quadrado;24 m;6,00;Concreto;01/03/2026;PA2018-0923;https://pergamum.anac.gov.br/arquivos/PA2018-0923.pdf;;;;;;
SWYP;CE0075;Platinum Corporate;FORTALEZA;Ceará;Elevado;-3,7330556;-38,509444;03°43'59.0"S;038°30'34.0"W;72,0;VFR;VFR;13;Quadrado;20 m;4,00;Concreto;15/05/2029;PA2019-1371;https://pergamum.anac.gov.br/arquivos/PA2019-1371.pdf;;;;;;
SITN;RJ0090;Torre Oscar Niemeyer;RIO DE JANEIRO;Rio de Janeiro;Elevado;-22,940833;-43,179722;22°56'27.0"S;043°10'47.0"W;95,0;VFR;VFR;15 33;Quadrado;19,5 m;5,00;Concreto;27/02/2028;PA2018-0578;https://pergamum.anac.gov.br/arquivos/PA2018-0578.pdf;;;;;;
SDMU;RJ0048;Multiplan;RIO DE JANEIRO;Rio de Janeiro;Elevado;-22,9075;-43,175833;22°54'27.0"S;043°10'33.0"W;107,0;VFR;Sem Operação;33;Quadrado;19,5 m;2,70;Concreto;01/06/2031;PA2021-5082;https://pergamum.anac.gov.br/arquivos/PA2021-5082.pdf;;;;;;
SWQF;CE0068;Miguel Dias III;MULUNGU;Ceará;No solo;-4,2380556;-38,981111;04°14'17.9"S;038°58'52.9"W;930,0;VFR;VFR;13 32;Quadrado;18 m;3,00;Concreto;25/03/2031;PA2021-4474;https://pergamum.anac.gov.br/arquivos/PA2021-4474.pdf;;;;;;
;AC0015;HUERB - Hospital de Urgência e Emergência de Rio Branco;RIO BRANCO;Acre;Elevado;-9,9644444;-67,814444;09°57'52.0"S;067°48'52.0"W;180,0;VFR;Sem Operação;8 23;Quadrado;21 m;6,00;Concreto;25/02/2031;PA2021-4111;https://pergamum.anac.gov.br/arquivos/PA2021-4111.pdf;;;;;;
SNBQ;SP0692;Bela Cintra;SÃO PAULO;São Paulo;No solo;-23,553889;-46,658611;23°33'14.0"S;046°39'31.0"W;872,0;VFR;VFR;27;Quadrado;18 m;4,00;Concreto;;;;;;;;;
SDMN;SP0385;Continental Tower;SÃO PAULO;São Paulo;Elevado;-23,601667;-46,699167;23°36'06.0"S;046°41'57.0"W;864,0;VFR;VFR;13 34;Quadrado;30 m;10,00;Concreto;02/05/2023;PA2016-1331;https://pergamum.anac.gov.br/arquivos/PA2016-1331.pdf;;;;;;
SWJG;GO0177;CGO;PILAR DE GOIÁS;Goiás;No solo;-14,777222;-49,576111;14°46'38.0"S;049°34'34.0"W;743,0;VFR;;7 22;Quadrado;20 m;6,00;Concreto;19/12/2023;PA2013-3324;https://pergamum.anac.gov.br/arquivos/PA2013-3324.pdf;;;;;;
SIDH;SP0480;Brascan Century Plaza Green Valley Commercial;BARUERI;São Paulo;Elevado;-23,485556;-46,864167;23°29'08.0"S;046°51'51.0"W;881,0;VFR;VFR;5 23;Quadrado;24 m;6,00;Concreto;07/11/2024;PA2015-2929;https://pergamum.anac.gov.br/arquivos/PA2015-2929.pdf;;;;;;
SSLU;PR0141;Palazzo Lumini;CURITIBA;Paraná;No solo;-25,439722;-49,342222;25°26'23.1"S;049°20'32.4"W;1066,0;VFR;VFR;6 26;Quadrado;21 m;4,50;Concreto;28/12/2025;PA2015-3439;https://pergamum.anac.gov.br/arquivos/PA2015-3439.pdf;;;;;;
SNNJ;SP0719;Cananéia;CANANÉIA;São Paulo;Elevado;-25,007778;-47,925;25°00'28.0"S;047°55'30.0"W;9,0;VFR;VFR;14;Quadrado;21,45 m;6,00;Concreto;29/05/2025;PA2015-1292;https://pergamum.anac.gov.br/arquivos/PA2015-1292.pdf;;;;;;
SWUO;GO0180;Arroz Cristal;APARECIDA DE GOIÂNIA;Goiás;No solo;-16,821667;-49,213611;16°49'18.0"S;049°12'49.0"W;782,0;VFR;;4;Quadrado;18 m;3,00;Concreto;;;;;;;;;
SDBC;SP0294;Bradesco Alphaville;BARUERI;São Paulo;No solo;-23,4875;-46,8575;23°29'15.0"S;046°51'27.0"W;776,0;VFR;VFR;9 36;Quadrado;24 m;4,50;Concreto;19/11/2030;;;;;;;;
SNBK;SP0691;N. S. A.;CAMPOS DO JORDÃO;São Paulo;No solo;-22,738333;-45,54;22°44'18.0"S;045°32'24.0"W;1726,0;VFR;VFR;13;Quadrado;21 m;4,50;Concreto;11/05/2031;PA2021-4946;https://pergamum.anac.gov.br/arquivos/PA2021-4946.pdf;;;;;;
SIPI;SP0538;Alphacentro;BARUERI;São Paulo;Elevado;-23,498056;-46,862222;23°29'53.0"S;046°51'44.0"W;747,0;VFR;VFR;14 35;Quadrado;19,5 m;3,15;Metálico;14/12/2021;PA2011-2423;https://pergamum.anac.gov.br/arquivos/PA2011-2423.pdf;;;;;;
SJBS;SP0601;São José dos Campos;SÃO JOSÉ DOS CAMPOS;São Paulo;Elevado;-23,211389;-45,900278;23°12'41.0"S;045°54'01.0"W;585,0;VFR;Sem Operação;13;Quadrado;18 m;4,00;Concreto;11/08/2027;PA2017-2509;https://pergamum.anac.gov.br/arquivos/PA2017-2509.pdf;;;;;;
SWHX;SP0812;Conjunto Hospitalar do Mandaqui;SÃO PAULO;São Paulo;Elevado;-23,485;-46,630556;23°29'06.0"S;046°37'50.0"W;801,0;VFR;VFR;16 34;Quadrado;21 m;4,50;Concreto;06/03/2023;PA2013-0564;https://pergamum.anac.gov.br/arquivos/PA2013-0564.pdf;;;;;;
SJED;CE0042;Metaneide;MARACANAÚ;Ceará;No solo;-3,8419444;-38,599722;03°50'31.0"S;038°35'59.0"W;52,0;VFR;VFR;10;Quadrado;20 m;3,00;Concreto;16/09/2023;PA2013-2404;https://pergamum.anac.gov.br/arquivos/PA2013-2404.pdf;;;;;;
SIYQ;RJ0094;Centro Empresarial Senado;RIO DE JANEIRO;Rio de Janeiro;Elevado;-22,910556;-43,186111;22°54'38.0"S;043°11'10.0"W;89,0;VFR;VFR;6;Quadrado;27 m;10,00;Concreto;19/11/2022;PA2015-0291;https://pergamum.anac.gov.br/arquivos/PA2015-0291.pdf;;;;;;
SNRL;SP0728;Folhamatic;AMERICANA;São Paulo;Elevado;-22,759167;-47,325833;22°45'33.0"S;047°19'33.0"W;594,0;VFR;VFR;11;Quadrado;20,2 m;4,00;Concreto;01/10/2030;PA2020-2285;https://pergamum.anac.gov.br/arquivos/PA2020-2285.pdf;;;;;;
SDHM;MG0303;Hospital Metropolitano de Belo Horizonte;BELO HORIZONTE;Minas Gerais;Elevado;-19,985556;-44,006667;19°59'08.0"S;044°00'24.0"W;1023,0;VFR;VFR;7;Quadrado;19,5 m;3,00;Concreto;16/04/2029;PA2019-1128;https://pergamum.anac.gov.br/arquivos/PA2019-1128.pdf;;;;;;
SWVT;SC0100;Via Catarina;PALHOÇA;Santa Catarina;No solo;-27,641944;-48,673056;27°38'31.0"S;048°40'23.0"W;51,0;VFR;VFR;30;Quadrado;18 m;3,00;Concreto;02/07/2028;PA2018-1664;https://pergamum.anac.gov.br/arquivos/PA2018-1664.pdf;;;;;;
SDBQ;CE0026;Hospital São Mateus;FORTALEZA;Ceará;Elevado;-3,7416667;-38,48;03°44'30.0"S;038°28'48.0"W;126,0;VFR;VFR;13 31;Quadrado;18 m;3,00;Concreto;03/12/2030;PA2020-3282;https://pergamum.anac.gov.br/arquivos/PA2020-3282.pdf;;;;;;
SNFK;SP0698;Estância Colorado;SALES OLIVEIRA;São Paulo;No solo;-20,758611;-47,863333;20°45'31.0"S;047°51'48.0"W;723,0;VFR;VFR;1;Quadrado;24 m;5,00;Concreto;23/07/2025;PA2015-1951;https://pergamum.anac.gov.br/arquivos/PA2015-1951.pdf;;;;;;
SNDL;CE0048;Luciano Cavalcante;PARAIPABA;Ceará;No solo;-3,3458333;-39,126111;03°20'45.0"S;039°07'34.0"W;14,0;VFR;VFR;11;Quadrado;20 m;4,00;Concreto;06/07/2026;PA2016-1697;https://pergamum.anac.gov.br/arquivos/PA2016-1697.pdf;;;;;;
SJHL;PA0156;Helinorte;MARABÁ;Pará;No solo;-5,3627778;-49,068889;05°21'46.0"S;049°04'08.0"W;112,0;VFR;;30;Quadrado;19,5 m;5,00;Concreto;15/06/2026;PA2016-1475;https://pergamum.anac.gov.br/arquivos/PA2016-1475.pdf;;;;;;
SIDX;SP0482;Vila Adail 2;ELIAS FAUSTO;São Paulo;No solo;-23,050556;-47,396389;23°03'02.0"S;047°23'47.0"W;574,0;VFR;VFR;35;Quadrado;24 m;6,00;Grama;16/12/2025;PA2015-3325;https://pergamum.anac.gov.br/arquivos/PA2015-3325.pdf;;;;;;
SDFL;MA0055;Lagoa Corporate;SÃO LUÍS;Maranhão;No solo;-2,5;-44,307778;02°30'00.0"S;044°18'28.0"W;59,0;VFR;VFR;7;Quadrado;18 m;3,00;Concreto;29/07/2025;PA2015-1993;https://pergamum.anac.gov.br/arquivos/PA2015-1993.pdf;;;;;;
SDLT;SP0383;Litucera;VINHEDO;São Paulo;Elevado;-23,039722;-46,983611;23°02'23.0"S;046°59'01.0"W;746,0;VFR;VFR;31;Quadrado;19,5 m;2,72;Concreto;29/11/2022;PA2016-0444;https://pergamum.anac.gov.br/arquivos/PA2016-0444.pdf;;;;;;
SIGO;SP0495;Condomínio Edifício Paulista Plaza;SÃO PAULO;São Paulo;Elevado;-23,573611;-46,641667;23°34'25.0"S;046°38'30.5"W;888,0;VFR;VFR;1;Quadrado;18 m;4,00;Concreto;26/06/2025;PA2015-1566;https://pergamum.anac.gov.br/arquivos/PA2015-1566.pdf;;;;;;
SDNX;RJ0050;Helimater;ANGRA DOS REIS;Rio de Janeiro;No solo;-23,042222;-44,192222;23°02'32.0"S;044°11'32.0"W;26,0;VFR;VFR;8;Quadrado;19,5 m;5,00;Concreto;14/09/2025;PA2015-2397;https://pergamum.anac.gov.br/arquivos/PA2015-2397.pdf;;;;;;
SDYY;MA0056;Business Center Renascença;SÃO LUÍS;Maranhão;No solo;-2,4986111;-44,284722;02°29'55.0"S;044°17'05.0"W;70,0;VFR;;2;Quadrado;18 m;3,00;Concreto;13/05/2025;PA2015-1116;https://pergamum.anac.gov.br/arquivos/PA2015-1116.pdf;;;;;;
SDIW;SP0358;Edifício São Paulo Trade Building;SÃO PAULO;São Paulo;Elevado;-23,594167;-46,689444;23°35'39.0"S;046°41'22.0"W;798,0;VFR;VFR;10;Quadrado;18 m;3,00;Concreto;28/04/2031;PA2021-4841;https://pergamum.anac.gov.br/arquivos/PA2021-4841.pdf;;;;;;
SIET;SP0487;CD 19;GUARUJÁ;São Paulo;Elevado;-23,955278;-46,189444;23°57'19.4"S;046°11'22.9"W;12,0;VFR;VFR;20;Quadrado;18 m;3,00;Concreto;21/05/2024;PA2014-1185;https://pergamum.anac.gov.br/arquivos/PA2014-1185.pdf;;;;;;
SSXL;SP0790;Chendel;ATIBAIA;São Paulo;Elevado;-23,165278;-46,575;23°09'55.0"S;046°34'30.0"W;743,0;VFR;VFR;26;Quadrado;21 m;5,00;Concreto;28/12/2025;PA2015-3440;https://pergamum.anac.gov.br/arquivos/PA2015-3440.pdf;;;;;;
SWGY;RS0116;Sierra Móveis Gramado;GRAMADO;Rio Grande do Sul;No solo;-29,417222;-50,853333;29°25'02.0"S;050°51'12.0"W;665,0;VFR;VFR;13 34;Quadrado;21 m;4,30;Concreto;19/10/2021;PA2011-1998;https://pergamum.anac.gov.br/arquivos/PA2011-1998.pdf;;;;;;
